title,year,journal,method,markerGene,nSamples,seqDepth,simIndex,otuDefinition,taxa,medium,biome,scale,mantelR,pValue,notes
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,ITS,12,784,sorensen,0.9,fungi,host,forest,23,0.83,0.001,NA
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,ITS,12,784,sorensen,0.95,fungi,host,forest,23,0.8,0.01,NA
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,ITS,12,784,sorensen,0.97,fungi,host,forest,23,0.79,0.001,NA
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,ITS,12,784,sorensen,0.99,fungi,host,forest,23,0.68,0.001,NA
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,16S,12,784,sorensen,0.9,bacteria,host,forest,23,0.38,0.01,NA
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,16S,12,784,sorensen,0.95,bacteria,host,forest,23,0.48,0.01,NA
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,16S,12,784,sorensen,0.97,bacteria,host,forest,23,0.51,0.01,NA
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,16S,12,784,sorensen,0.99,bacteria,host,forest,23,0.56,0.001,NA
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup+AC0-Crick,0.97,eukarya,soil,forest,0.064,0.338,0.05,site1
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup+AC0-Crick,0.97,eukarya,soil,forest,0.064,+AC0-0.24,NA,site1
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup+AC0-Crick,0.97,fungi,soil,forest,0.064,0.171,0.05,site1
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup+AC0-Crick,0.97,eukarya,soil,forest,0.064,0.22,0.05,site2
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup+AC0-Crick,0.97,eukarya,soil,forest,0.064,0.13,NA,site2
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup+AC0-Crick,0.97,fungi,soil,forest,0.064,0.18,0.05,site2
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup+AC0-Crick,0.97,eukarya,soil,forest,0.064,0.102,NA,site3
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,14,738,Raup+AC0-Crick,0.97,eukarya,soil,forest,0.064,0.124,NA,site3
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup+AC0-Crick,0.97,fungi,soil,forest,0.064,0.294,0.05,site3
Eutrophication decreases distance decay of similarity in diatom communities,2014,Freshwater Biology,morphology,NA,10,500,jaccard,NA,eukarya,water,river,6,0.43,0.01,eutrophic
Eutrophication decreases distance decay of similarity in diatom communities,2014,Freshwater Biology,morphology,NA,10,500,jaccard,NA,eukarya,water,river,6,0.79,0.001,mesotrophic
High diatom species turnover in a Baltic Sea rock pool metacommunity,2019,Marine Biodiversity,morphology,NA,30,500,bray,NA,eukarya,water,ocean,0.104,0.27,0.001,may
High diatom species turnover in a Baltic Sea rock pool metacommunity,2019,Marine Biodiversity,morphology,NA,30,500,bray,NA,eukarya,water,ocean,0.104,0.28,0.001,june
High diatom species turnover in a Baltic Sea rock pool metacommunity,2019,Marine Biodiversity,morphology,NA,30,500,bray,NA,eukarya,water,ocean,0.104,0.28,0.001,july
Microbial diversity and distribution differ between water column and biofilm assemblages in arid+AC0-land waterbodies,2019,Freshwater Science,illumina,16S,36,55890,w+AF8-unifrac,0.97,bacteria,water,lake,250,0.74,0.001,water
Microbial diversity and distribution differ between water column and biofilm assemblages in arid+AC0-land waterbodies,2019,Freshwater Science,illumina,16S,42,55890,w+AF8-unifrac,0.97,bacteria,water,lake,200,0.41,0.001,biofilm
The local environment regulates biogeographic patterns of soil fungal communities on the Loess Plateau,2019,Catena,illumina,ITS,24,27000,bray,0.97,fungi,soil,forest,12900,0.17,0.001,NA
The local environment regulates biogeographic patterns of soil fungal communities on the Loess Plateau,2019,Catena,illumina,ITS,24,27000,u+AF8-unifrac,0.97,fungi,soil,forest,12900,0.24,0.001,NA
Depth and location influence prokaryotic and eukaryotic microbial community structure in New Zealand fjords,2019,Science of the total environment,illumina,16S,20,22000,bray,0.97,Bac+AF8-arch,water,river,14.3,0.06,0.31,NA
Depth and location influence prokaryotic and eukaryotic microbial community structure in New Zealand fjords,2019,Science of the total environment,illumina,18S,20,6600,bray,0.99,eukarya,water,river,14.3,0.12,0.07,NA
+ACI-Diversity Distribution and Assembly Mechanisms of Planktonic and Benthic Microeukaryote Communities in Intertidal Zones of Southeast Fujian, China+ACI-,2019,Frontiers in Microbiology,illumina,18S,21,13595,bray,0.97,eukarya,water,ocean,66.48,0.383,0.001,NA
+ACI-Diversity Distribution and Assembly Mechanisms of Planktonic and Benthic Microeukaryote Communities in Intertidal Zones of Southeast Fujian, China+ACI-,2019,Frontiers in Microbiology,illumina,18S,15,13595,bray,0.97,eukarya,sediment,sediment,66.48,0.264,0.007,NA
Ammonia Oxidizers in High+AC0-Elevation Rivers of the Qinghai+AC0-Tibet Plateau Display Distinctive Distribution Patterns,2019,Applied and Environmental Microbiology,sanger,amoA,19,22,w+AF8-unifrac,0.95,archaea,water,river,1100,0.24,0.02,NA
Ammonia Oxidizers in High+AC0-Elevation Rivers of the Qinghai+AC0-Tibet Plateau Display Distinctive Distribution Patterns,2019,Applied and Environmental Microbiology,sanger,amoA,17,32,w+AF8-unifrac,0.95,bacteria,water,river,1100,0.28,0.04,NA
Stochastic processes shape microeukaryotic community assembly in a subtropical river across wet and dry seasons,2019,Microbiome,illumina,18S,30,110394,bray,0.97,eukarya,water,river,45,0.315,0.001,wet
Stochastic processes shape microeukaryotic community assembly in a subtropical river across wet and dry seasons,2019,Microbiome,illumina,18S,30,110394,bray,0.97,eukarya,water,river,45,0.585,0.001,dry
Integrated Space+AC0-Time Dataset Reveals High Diversity and Distinct Community Structure of Ciliates in Mesopelagic Waters of the Northern South China Sea,2019,Frontiers in Microbiology,illumina,18S,22,7532,bray,0.97,eukarya,water,ocean,50,0.426,0.001,NA
Integrated Space+AC0-Time Dataset Reveals High Diversity and Distinct Community Structure of Ciliates in Mesopelagic Waters of the Northern South China Sea,2019,Frontiers in Microbiology,morphology,NA,22,NA,bray,NA,eukarya,water,ocean,50,0.086,0.242,NA
Not by Salinity Alone: How Environmental Factors Shape Fungal Communities in Saline Soils,2019,Soil Science Society of America,illumina,ITS,31,30000,bray,0.97,fungi,soil,grassland,406.98,0.301,0.001,NA
Microbiota dispersion in the Uyuni salt flat (Bolivia) as determined by community structure analyses,2019,International Microbiology,Ion Torrent,16S,10,84144,bray,0.94,Bac+AF8-arch,sediment,sediment,64.35844,0.0764,0.2525,NA
Large+AC0-scale distribution of bacterial communities in the Qaidam Basin of the Qinghai+AC0-Tibet Plateau,2019,MicrobiologyOpen,illumina,16S,35,NA,bray,0.97,bacteria,soil,grassland,737,0.383,0.001,NA
Biogeography and the driving factors affecting forest soil bacteria in an arid area,2019,Science of the total environment,illumina,16S,24,11020,bray,0.97,bacteria,soil,grassland,800,0.274,0.001,NA
Biogeography and the driving factors affecting forest soil bacteria in an arid area,2019,Science of the total environment,illumina,16S,24,11020,w+AF8-unifrac,0.97,bacteria,soil,grassland,800,0.219,0.001,NA
Biogeography and the driving factors affecting forest soil bacteria in an arid area,2019,Science of the total environment,illumina,16S,24,11020,u+AF8-unifrac,0.97,bacteria,soil,grassland,800,0.271,0.001,NA
+ACI-Functional Traits and Spatio+AC0-Temporal Structure of a Major Group of Soil Protists (Rhizaria: Cercozoa) in a Temperate Grassland (vol 10, 1332, 2019)+ACI-,2019,Frontiers in Microbiology,illumina,18S,180,30890,bray,0.97,eukarya,soil,grassland,0.0124,0.1661,0.0001,NA
On+AC0-Site Analysis of Bacterial Communities of the Ultraoligotrophic South Pacific Gyre,2019,Applied and Environmental Microbiology,Ion Torrent,16S,147,13051,bray,0.98,bacteria,water,ocean,7000,0.03,NA,NA
Upland Soil Cluster Gamma dominates methanotrophic communities in upland grassland soils,2019,Science of the total environment,illumina,pmoA,30,30381,bray,0.82,Bac+AF8-arch,soil,grassland,2000,0.1567,0.046,NA
Community Assembly Mechanisms Underlying the Core and Random Bacterioplankton and Microeukaryotes in a River+AC0-Reservoir System,2019,Water,illumina,16S,100,16854,bray,0.97,bacteria,water,river,16.75,0.42,0.01,NA
Community Assembly Mechanisms Underlying the Core and Random Bacterioplankton and Microeukaryotes in a River+AC0-Reservoir System,2019,Water,illumina,18S,100,28993,bray,0.97,eukarya,water,river,16.75,0.3,0.01,NA
+ACI-Phosphorus mediates soil prokaryote distribution pattern along a small+AC0-scale elevation gradient in Noijin Kangsang Peak, Tibetan Plateau+ACI-,2019,FEMS Microbiology Ecology,illumina,16S,9,9563,bray,0.97,bacteria,soil,grassland,0.28,0.405,0.056,topsoil
+ACI-Phosphorus mediates soil prokaryote distribution pattern along a small+AC0-scale elevation gradient in Noijin Kangsang Peak, Tibetan Plateau+ACI-,2019,FEMS Microbiology Ecology,illumina,16S,9,9563,bray,0.97,bacteria,soil,grassland,0.28,+AC0-0.033,0.504,subsoil
Microbial Ecology of Snow Reveals Taxa+AC0-Specific Biogeographical Structure,2019,Microbial Ecology,illumina,16S,12,15000,bray,0.97,bacteria,snow,snow,410,+AC0-0.013,0.438,NA
Microbial Ecology of Snow Reveals Taxa+AC0-Specific Biogeographical Structure,2019,Microbial Ecology,illumina,ITS,12,9000,bray,0.97,fungi,snow,snow,410,0.306,0.033,NA
Microbial Ecology of Snow Reveals Taxa+AC0-Specific Biogeographical Structure,2019,Microbial Ecology,illumina,ITS,12,250,bray,0.97,eukarya,snow,snow,410,0.024,0.281,NA
Historical Factors Associated With Past Environments Influence the Biogeography of Thermophilic Endospores in Arctic Marine Sediments,2019,Frontiers in Microbiology,pyrosequencing,16S,10,226,jaccard,0.97,bacteria,sediment,ocean,220,0.26,NA,NA
Historical Factors Associated With Past Environments Influence the Biogeography of Thermophilic Endospores in Arctic Marine Sediments,2019,Frontiers in Microbiology,pyrosequencing,16S,10,226,bray,0.97,bacteria,sediment,ocean,220,0.03,NA,NA
Molecular diversity and biogeography of benthic ciliates in the Bohai Sea and Yellow Sea,2019,Acta Oceanologica Sinica,pyrosequencing,18S,37,100,bray,0.97,eukarya,sediment,ocean,500,0.21,0.001,NA
Distinct biogeographic patterns of rhizobia and non+AC0-rhizobial endophytes associated with soybean nodules across China,2018,Science of the total environment,illumina,16S,50,25571,bray,0.97,bacteria,host,agriculture,NA,0.07,NA,NA
How bacterioplankton community can go with cascade damming in the highly regulated Lancang+AC0-Mekong River Basin,2018,Molecular Ecology,illumina,16S,105,NA,bray,0.97,bacteria,water,river,1200,0.69,0.01,NA
Influence of water quality on diversity and composition of fungal communities in a tropical river,2018,Scientific Reports,pyrosequencing,ITS,7,NA,bray,0.97,fungi,water,river,940,0.3343,0.001,dry
THE EFFECTS OF CONTEMPORARY SELECTION AND DISPERSAL LIMITATION ON THE COMMUNITY ASSEMBLY OF ACIDOPHILIC MICROALGAE,2018,Journal of Phycology,pyrosequencing,rbcL,72,2515,bray,NA,eukarya,sediment,river,3816.9,0.32,0.001,NA
Multiple processes acting from local to large geographical scales shape bacterial communities associated with Phormidium (cyanobacteria) biofilms in French and New Zealand rivers,2018,Scientific Reports,illumina,16S,92,8918,bray,0.97,bacteria,sediment,river,15.63357,0.32,0.04,france
Multiple processes acting from local to large geographical scales shape bacterial communities associated with Phormidium (cyanobacteria) biofilms in French and New Zealand rivers,2018,Scientific Reports,illumina,16S,92,8918,bray,0.97,bacteria,sediment,river,364.114,0.7,0.002,nz
Multiple processes acting from local to large geographical scales shape bacterial communities associated with Phormidium (cyanobacteria) biofilms in French and New Zealand rivers,2018,Scientific Reports,illumina,16S,92,8918,jaccard,0.97,bacteria,sediment,river,15.63357,0.17,0.22,france
Multiple processes acting from local to large geographical scales shape bacterial communities associated with Phormidium (cyanobacteria) biofilms in French and New Zealand rivers,2018,Scientific Reports,illumina,16S,92,8918,jaccard,0.97,bacteria,sediment,river,364.114,0.76,0.001,nz
Association between temporal and spatial beta diversity in phytoplankton,2018,Ecography,morphology,NA,49,NA,bray,NA,eukarya,sediment,river,667.6188,0.098,0.074,spring
Association between temporal and spatial beta diversity in phytoplankton,2018,Ecography,morphology,NA,49,NA,jaccard,NA,eukarya,sediment,river,667.6188,0.021,0.336,spring
Association between temporal and spatial beta diversity in phytoplankton,2018,Ecography,morphology,NA,49,NA,bray,NA,eukarya,sediment,river,667.6188,0.31,0.001,summer
Association between temporal and spatial beta diversity in phytoplankton,2018,Ecography,morphology,NA,49,NA,jaccard,NA,eukarya,sediment,river,667.6188,0.313,0.001,summer
Co+AC0-occurrence Network Reveals the Higher Fragmentation of the Bacterial Community in Kaidu River Than Its Tributaries in Northwestern China,2018,Microbes and Environments,illumina,16S,8,NA,bray,0.97,bacteria,water,river,105,0.7,0.01,main
Co+AC0-occurrence Network Reveals the Higher Fragmentation of the Bacterial Community in Kaidu River Than Its Tributaries in Northwestern China,2018,Microbes and Environments,illumina,16S,9,NA,bray,0.97,bacteria,water,river,118,+AC0-0.27,NA,tributaries
Soil bacterial community composition and diversity in relation to edaphic properties and plant traits in grasslands of southern China,2018,Applied Soil Ecology,illumina,16S,100,8047,bray,0.97,bacteria,soil,grassland,524.5567,0.2376,0.001,NA
Soil bacterial community composition and diversity in relation to edaphic properties and plant traits in grasslands of southern China,2018,Applied Soil Ecology,illumina,16S,100,8047,w+AF8-unifrac,0.97,bacteria,soil,grassland,524.5567,0.1432,0.001,NA
Soil bacterial community composition and diversity in relation to edaphic properties and plant traits in grasslands of southern China,2018,Applied Soil Ecology,illumina,16S,100,8047,betaMNTD,0.97,bacteria,soil,grassland,524.5567,0.07761,0.015,NA
Biogeography and ecological processes affecting root+AC0-associated bacterial communities in soybean fields across China,2018,Science of the total environment,illumina,16S,51,5209,bray,0.97,bacteria,soil,agriculture,3700,0.279,0.001,bulk
Biogeography and ecological processes affecting root+AC0-associated bacterial communities in soybean fields across China,2018,Science of the total environment,illumina,16S,51,5209,bray,0.97,bacteria,soil,agriculture,3700,0.124,0.055,rhizo
Biogeography and ecological processes affecting root+AC0-associated bacterial communities in soybean fields across China,2018,Science of the total environment,illumina,16S,51,5209,bray,0.97,bacteria,host,agriculture,3700,0.06,0.201,endo
Vertical and horizontal biogeographic patterns and major factors affecting bacterial communities in the open South China Sea,2018,Scientific Reports,illumina,16S,6,135317,bray,0.97,bacteria,water,ocean,989,0.007,0.978,surface
Vertical and horizontal biogeographic patterns and major factors affecting bacterial communities in the open South China Sea,2018,Scientific Reports,illumina,16S,6,145541,bray,0.97,bacteria,water,ocean,989,+AC0-0.26,0.35,200
Vertical and horizontal biogeographic patterns and major factors affecting bacterial communities in the open South China Sea,2018,Scientific Reports,illumina,16S,6,118482,bray,0.97,bacteria,water,ocean,989,0.165,0.557,800
Vertical and horizontal biogeographic patterns and major factors affecting bacterial communities in the open South China Sea,2018,Scientific Reports,illumina,16S,6,130664,bray,0.97,bacteria,water,ocean,989,+AC0-0.265,0.34,deep
Vertical and horizontal biogeographic patterns and major factors affecting bacterial communities in the open South China Sea,2018,Scientific Reports,illumina,16S,6,135317,jaccard,0.97,bacteria,water,ocean,989,0.004,0.987,surface
Vertical and horizontal biogeographic patterns and major factors affecting bacterial communities in the open South China Sea,2018,Scientific Reports,illumina,16S,6,145541,jaccard,0.97,bacteria,water,ocean,989,+AC0-0.261,0.348,200
Vertical and horizontal biogeographic patterns and major factors affecting bacterial communities in the open South China Sea,2018,Scientific Reports,illumina,16S,6,118482,jaccard,0.97,bacteria,water,ocean,989,0.172,0.539,800
Vertical and horizontal biogeographic patterns and major factors affecting bacterial communities in the open South China Sea,2018,Scientific Reports,illumina,16S,6,130664,jaccard,0.97,bacteria,water,ocean,989,+AC0-0.181,0.519,deep
Why do microbes exhibit weak biogeographic patterns?,2018,ISME,illumina,16S,35,3790,canberra,0.97,bacteria,soil,forest,0.7071068,0.569,0.001,NA
Plant growth and oil contamination alter the diversity and composition of bacterial communities in agricultural soils across China,2018,Land Degradation +ACY- Development,illumina,16S,21,18844,bray,0.97,bacteria,soil,agriculture,4129.6,0.347,0.05,NA
Ecological and biogeographical drivers of freshwater green algae biodiversity: from local communities to large+AC0-scale species pools of desmids,2018,Oecologia,morphology,NA,148,200,sorensen,NA,eukarya,sediment,sediment,1673.871,0.18,0.001,NA
Biogeographical patterns of bacterial and archaeal communities from distant hypersaline environments,2018,Applied and Systematic Microbiology,pyrosequencing,16S,50,8887,bray,0.987,bacteria,sediment,sediment,11250.7,0.13,0.0001,NA
Biogeographical patterns of bacterial and archaeal communities from distant hypersaline environments,2018,Applied and Systematic Microbiology,pyrosequencing,16S,50,11273,bray,0.987,archaea,sediment,sediment,11250.7,0.36,0.0001,NA
+ACI-Environmental factors driving fungal distribution in freshwater lake sediments across the Headwater Region of the Yellow River, China+ACI-,2018,Scientific Reports,pyrosequencing,ITS,30,3229,sorensen,0.97,fungi,sediment,lake,148,0.17,0.014,NA
Ammonia+AC0-Oxidizing Archaea Show More Distinct Biogeographic Distribution Patterns than Ammonia+AC0-Oxidizing Bacteria across the Black Soil Zone of Northeast China,2018,Frontiers in Microbiology,pyrosequencing,amoA,26,4900,w+AF8-unifrac,0.85,archaea,soil,agriculture,740.6049,0.388,0.001,NA
Ammonia+AC0-Oxidizing Archaea Show More Distinct Biogeographic Distribution Patterns than Ammonia+AC0-Oxidizing Bacteria across the Black Soil Zone of Northeast China,2018,Frontiers in Microbiology,pyrosequencing,amoA,26,4100,w+AF8-unifrac,0.85,bacteria,soil,agriculture,740.6049,0.15,0.007,NA
Contrasting patterns of the bacterial and archaeal communities in a high+AC0-elevation river in northwestern China,2018,Journal of Microbiology,illumina,16S,8,NA,bray,0.97,archaea,water,river,108,0.53,NA,NA
Contrasting patterns of the bacterial and archaeal communities in a high+AC0-elevation river in northwestern China,2018,Journal of Microbiology,illumina,16S,8,NA,bray,0.97,bacteria,water,river,108,0.7,0.01,NA
Facultative root+AC0-colonizing fungi dominate endophytic assemblages in roots of nonmycorrhizal Microthlaspi species,2018,New Phytologist,illumina,ITS,43,48363,bray,0.97,fungi,host,grassland,1804.736,0.18,0.001,NA
The diversity and biogeography of abundant and rare intertidal marine microeukaryotes explained by environment and dispersal limitation,2018,Environmental Microbiology,illumina,18S,36,34239,bray,0.97,eukarya,sediment,sediment,12000,0.638,0.01,abundant
The diversity and biogeography of abundant and rare intertidal marine microeukaryotes explained by environment and dispersal limitation,2018,Environmental Microbiology,illumina,18S,36,34239,bray,0.97,eukarya,sediment,sediment,12000,0.484,0.01,rare
Distribution of bacterial communities along the spatial and environmental gradients from Bohai Sea to northern Yellow Sea,2018,PeerJ,illumina,16S,14,10000,w+AF8-unifrac,0.97,bacteria,water,ocean,251.9414,0.18,NA,NA
Soil organic matter availability and climate drive latitudinal patterns in bacterial diversity from tropical to cold temperate forests,2018,Functional Ecology,illumina,16S,36,19460,bray,0.97,bacteria,soil,forest,3700,0.545,0.001,NA
Impact of Ecological Factors on the Diversity and Community Assemblage of the Bacteria Harbored in the Rhizosphere of Hippophae rhamnoides,2018,International Journal of Agriculture and Biology,illumina,16S,20,NA,w+AF8-unifrac,0.97,bacteria,host,grassland,3000,0.64,0.01,NA
Highlighting patterns of fungal diversity and composition shaped by ocean currents using the East China Sea as a model,2018,Molecular Ecology,illumina,ITS,36,19317,bray,0.97,fungi,water,ocean,544.152,0.421,0.001,surface
Highlighting patterns of fungal diversity and composition shaped by ocean currents using the East China Sea as a model,2018,Molecular Ecology,illumina,ITS,36,19317,bray,0.97,fungi,water,ocean,544.152,0.426,,mid
Highlighting patterns of fungal diversity and composition shaped by ocean currents using the East China Sea as a model,2018,Molecular Ecology,illumina,ITS,28,19317,bray,0.97,fungi,water,ocean,544.152,0.373,,bottom
Highlighting patterns of fungal diversity and composition shaped by ocean currents using the East China Sea as a model,2018,Molecular Ecology,illumina,ITS,40,19317,bray,0.97,fungi,sediment,ocean,544.152,0.302,0.002,sed
Patterns and Drivers of Vertical Distribution of the Ciliate Community from the Surface to the Abyssopelagic Zone in the Western Pacific Ocean,2017,Frontiers in Microbiology,illumina,18S,9,9513,bray,0.97,eukarya,water,ocean,1300,0.26,0.13,NA
+ACI-Linking bacterial community structure to advection and environmental impact along a coast+AC0-fjord gradient of the Sognefjord, western Norway+ACI-,2017,Progress in Oceanography,ARISA,ISR,10,NA,jaccard,NA,bacteria,water,river,175,0.29,NA,nov+AF8-surf
+ACI-Linking bacterial community structure to advection and environmental impact along a coast+AC0-fjord gradient of the Sognefjord, western Norway+ACI-,2017,Progress in Oceanography,ARISA,ISR,8,NA,jaccard,NA,bacteria,water,river,175,0.58,0.05,nov+AF8-inter
+ACI-Linking bacterial community structure to advection and environmental impact along a coast+AC0-fjord gradient of the Sognefjord, western Norway+ACI-,2017,Progress in Oceanography,ARISA,ISR,14,NA,jaccard,NA,bacteria,water,river,140,0.22,0.05,nov+AF8-basin
+ACI-Linking bacterial community structure to advection and environmental impact along a coast+AC0-fjord gradient of the Sognefjord, western Norway+ACI-,2017,Progress in Oceanography,ARISA,ISR,8,NA,jaccard,NA,bacteria,water,river,190,0.59,0.005,may+AF8-surf
+ACI-Linking bacterial community structure to advection and environmental impact along a coast+AC0-fjord gradient of the Sognefjord, western Norway+ACI-,2017,Progress in Oceanography,ARISA,ISR,14,NA,jaccard,NA,bacteria,water,river,190,0.6,0.0005,may+AF8-inter
+ACI-Linking bacterial community structure to advection and environmental impact along a coast+AC0-fjord gradient of the Sognefjord, western Norway+ACI-,2017,Progress in Oceanography,ARISA,ISR,14,NA,jaccard,NA,bacteria,water,river,140,0.21,NA,may+AF8-basin
Is microbial terroir related to geographic distance between vineyards?,2017,Environmental Microbiology Reports,illumina,ITS,18,57346,bray,0.97,fungi,host,agriculture,35,0.42,0.007,leaf
Is microbial terroir related to geographic distance between vineyards?,2017,Environmental Microbiology Reports,illumina,ITS,18,68490,bray,0.97,fungi,host,agriculture,35,0.51,0.001,berry
Is microbial terroir related to geographic distance between vineyards?,2017,Environmental Microbiology Reports,illumina,16S,17,27106,bray,0.97,bacteria,host,agriculture,35,0.07,0.27,leaf
Is microbial terroir related to geographic distance between vineyards?,2017,Environmental Microbiology Reports,illumina,16S,18,27106,bray,0.97,bacteria,host,agriculture,35,+AC0-0.08,0.61,berry
Deep nirS amplicon sequencing of San Francisco Bay sediments enables prediction of geography and environmental conditions from denitrifying community composition,2017,Environmental Microbiology,Ion Torrent,nirS,35,13000,w+AF8-unifrac,0.88,bacteria,sediment,ocean,NA,0.74,0.001,NA
+ACI-Elevation, space and host plant species structure Ericaceae root+AC0-associated fungal communities in Papua New Guinea+ACI-,2017,Fungal Ecology,pyrosequencing,ITS,27,NA,bray,0.97,fungi,host,forest,NA,0.15,0.013,ericoid
+ACI-Elevation, space and host plant species structure Ericaceae root+AC0-associated fungal communities in Papua New Guinea+ACI-,2017,Fungal Ecology,pyrosequencing,ITS,27,NA,bray,0.97,fungi,host,forest,NA,0.22,0.002,endo
Distinct seasonality of chytrid+AC0-dominated benthic fungal communities in the neritic oceans (Bohai Sea and North Yellow Sea),2017,Fungal Ecology,pyrosequencing,18S,27,880,bray,0.99,fungi,sediment,ocean,590,0.091,0.085,NA
Biogeography at the limits of life: Do extremophilic microbial communities show biogeographical regionalization?,2017,Global Ecology and Biogeography,illumina,16S,75,27554,beta+AF8-sim,0.97,archaea,sediment,sediment,9714.929,0.26,0.001,NA
Biogeography at the limits of life: Do extremophilic microbial communities show biogeographical regionalization?,2017,Global Ecology and Biogeography,illumina,16S,75,26578,beta+AF8-sim,0.99,archaea,sediment,sediment,9714.929,0.31,0.001,NA
Rhizospheric fungi and their link with the nitrogen+AC0-fixing Frankia harbored in host plant Hippophae rhamnoides L,2017,Journal of Basic Microbiology,illumina,ITS,19,NA,w+AF8-unifrac,0.97,fungi,host,grassland,3000,0.47,0.01,fungi
Rhizospheric fungi and their link with the nitrogen+AC0-fixing Frankia harbored in host plant Hippophae rhamnoides L,2017,Journal of Basic Microbiology,illumina,ITS,19,NA,w+AF8-unifrac,0.97,fungi,host,grassland,3000,0.12,0.18,amf
Distinct microbial communities in the active and permafrost layers on the Tibetan Plateau,2017,Molecular Ecology,illumina,ITS,31,14000,bray,0.97,fungi,soil,grassland,771.278,0.022,0.63,active
Distinct microbial communities in the active and permafrost layers on the Tibetan Plateau,2017,Molecular Ecology,illumina,16S,31,19300,bray,0.97,Bac+AF8-arch,soil,grassland,771.278,0.49,0.001,active
Distinct microbial communities in the active and permafrost layers on the Tibetan Plateau,2017,Molecular Ecology,illumina,ITS,31,14000,bray,0.97,fungi,soil,grassland,771.278,0.14,0.008,permafrost
Distinct microbial communities in the active and permafrost layers on the Tibetan Plateau,2017,Molecular Ecology,illumina,16S,31,19300,bray,0.97,Bac+AF8-arch,soil,grassland,771.278,0.39,0.001,permafrost
Environmental filtering by pH and soil nutrients drives community assembly in fungi at fine spatial scales,2017,Molecular Ecology,illumina,ITS,40,39721,bray,0.97,fungi,soil,forest,1.070612,0.33,0.01,NA
Environmental filtering by pH and soil nutrients drives community assembly in fungi at fine spatial scales,2017,Molecular Ecology,illumina,ITS,40,39721,jaccard,0.97,fungi,soil,forest,1.070612,0.42,0.01,NA
The Patterns and Drivers of Bacterial and Fungal beta+AC0-Diversity in a Typical Dryland Ecosystem of Northwest China,2017,Frontiers in Microbiology,illumina,ITS,62,NA,bray,0.97,fungi,soil,grassland,1100,0.428,0.0001,NA
The Patterns and Drivers of Bacterial and Fungal beta+AC0-Diversity in a Typical Dryland Ecosystem of Northwest China,2017,Frontiers in Microbiology,illumina,16S,62,NA,bray,0.97,bacteria,soil,grassland,1100,0.221,0.0001,NA
The Patterns and Drivers of Bacterial and Fungal beta+AC0-Diversity in a Typical Dryland Ecosystem of Northwest China,2017,Frontiers in Microbiology,illumina,ITS,62,NA,beta+AF8-bray,0.97,fungi,soil,grassland,1100,0.415,0.0001,NA
The Patterns and Drivers of Bacterial and Fungal beta+AC0-Diversity in a Typical Dryland Ecosystem of Northwest China,2017,Frontiers in Microbiology,illumina,16S,62,NA,beta+AF8-bray,0.97,bacteria,soil,grassland,1100,0.209,0.0001,NA
+ACI-Patterns and Processes in Marine Microeukaryotic Community Biogeography from Xiamen Coastal Waters and Intertidal Sediments, Southeast China+ACI-,2017,Frontiers in Microbiology,illumina,18S,12,33996,bray,0.97,eukarya,water,ocean,19.95401,0.214,0.085,NA
