AU	TI	SO	AB	PY	DI
Raes, J; Letunic, I; Yamada, T; Jensen, LJ; Bork, P	Toward molecular trait-based ecology through integration of biogeochemical, geographical and metagenomic data	MOLECULAR SYSTEMS BIOLOGY	Using metagenomic parts lists to infer global patterns on microbial ecology remains a significant challenge. To deduce important ecological indicators such as environmental adaptation, molecular trait dispersal, diversity variation and primary production from the gene pool of an ecosystem, we integrated 25 ocean metagenomes with geographical, meteorological and geophysicochemical data. We find that climatic factors (temperature, sunlight) are the major determinants of the biomolecular repertoire of each sample and the main limiting factor on functional trait dispersal (absence of biogeographic provincialism). Molecular functional richness and diversity show a distinct latitudinal gradient peaking at 20 degrees N and correlate with primary production. The latter can also be predicted from the molecular functional composition of an environmental sample. Together, our results show that the functional community composition derived from metagenomes is an important quantitative readout for molecular trait-based biogeography and ecology. Molecular Systems Biology 7: 473; published online 15 March 2011; doi:10.1038/msb.2011.6	2011	10.1038/msb.2011.6
Hossain, Z; Sugiyama, S	Geographical structure of soil microbial communities in northern Japan: Effects of distance, land use type and soil properties	EUROPEAN JOURNAL OF SOIL BIOLOGY	Geographical assemblages of biological community are explained by natural selection and/or by stochastic processes of death and recruitment of individuals. We evaluated geographical pattern of the structure of soil bacterial and fungal communities at 32 sites distributed over 8000 km(2) in northern Japan, to examine (1) relative contribution of environmental factors and geographical distance (2) roles of land use types and soil properties, and (3) differences in spatial pattern between bacterial and fungal communities. The abundance and composition of soil bacterial and fungal communities were evaluated by phospholipid fatty acid (PLFA) profiling and denaturing gradient gel electrophoresis (DGGE) method with 16S rDNA and 18S rDNA. PLFA profiling and DNA fingerprinting revealed that geographical distance did not significantly affect geographical patterns of microbial communities, while land use and soil chemical properties had large significant effects. The four land use types (bare ground, agricultural land, grassland, and forest) explained about 30.0% of the total variation in bacterial PLFA abundance, mostly because of their differing soil properties. Correlations with soil properties suggest that litter input from aboveground vegetation determines the bacterial abundance in bare ground and agricultural land, whereas soil pH regulates the bacterial abundance in grassland and forests. DGGE results suggest that fungal community structure is sensitive to human disturbance because agricultural land showed significantly different fungal community structure from other types. (C) 2010 Elsevier Masson SAS. All rights reserved.	2011	10.1016/j.ejsobi.2010.11.007
Wang, JJ; Soininen, J; Zhang, Y; Wang, BX; Yang, XD; Shen, J	Contrasting patterns in elevational diversity between microorganisms and macroorganisms	JOURNAL OF BIOGEOGRAPHY	Aim Data and analyses of elevational gradients in diversity have been central to the development and evaluation of a range of general theories of biodiversity. Elevational diversity patterns have, however, been severely understudied for microbes, which often represent decomposer subsystems. Consequently, generalities in the patterns of elevational diversity across different trophic levels remain poorly understood. Our aim was to examine elevational gradients in the diversity of macroinvertebrates, diatoms and bacteria along a stony stream that covered a large elevational gradient. Location Laojun Mountain, Yunnan province, China. Methods The sampling scheme included 26 sites spaced at elevational intervals of 89 m from 1820 to 4050 m elevation along a stony stream. Macroinvertebrate and diatom richness were determined based on the morphology of the specimens. Taxonomic richness for bacteria was quantified using a molecular fingerprinting method. Over 50 environmental variables were measured at each site to quantify environmental variables that could correlate with the patterns of diversity. We used eigenvector-based spatial filters with multiple regressions to account for spatial autocorrelation. Results The bacterial richness followed an unexpected monotonic increase with elevation. Diatoms decreased monotonically, and macroinvertebrate richness showed a clear unimodal pattern with elevation. The unimodal richness pattern for macroinvertebrates was best explained by the mid-domain effect (r(2) = 0.72). The diatom richness was best explained by the variation in nutrient supply, and the increase in bacterial richness with elevation may be related to an increased carbon supply. Main conclusions We found contrasting patterns in elevational diversity among the three studied multi-trophic groups comprising unicellular and multicellular aquatic taxa. We also found that there may be fundamental differences in the mechanisms underlying these species diversity patterns.	2011	10.1111/j.1365-2699.2010.02423.x
Lovejoy, C; Potvin, M	Microbial eukaryotic distribution in a dynamic Beaufort Sea and the Arctic Ocean	JOURNAL OF PLANKTON RESEARCH	When Pacific Waters enter the Arctic Ocean, there is an abrupt change from temperature to salinity stratification of the upper water column. This change coincides with a faunal change as Pacific and Bering Sea zooplankton and fish species are replaced by Arctic species. The clear changes in distributions of larger organisms suggest that the Arctic is an ideal environment to test hypothesis of endemism in single-celled planktonic groups. Here, we investigate the distribution of phylotypes of small protists identified by their 18S rRNA gene. We constructed nine new clone libraries from three different water masses from samples collected along the continental shelf and offshore of Beaufort Sea, Western Canadian Arctic. The new data combined with all other available sequences from the Arctic were used to identify possible phylotypes with restricted Arctic distributions. Among those only reported to date from the Arctic were an oligotrichous ciliate, a chlorarachniophyte and a rhizarian. In the near-surface shelf sample, we also retrieved sequences from Pacific species that had not been previously reported in the Arctic. The occurrences of those phylotypes were best explained by incursions of Pacific Water as coastal currents in combination with elevated temperatures in 2005 that would have been favourable to the non-Arctic phylotypes. Overall, we found support for the notion of microbial biogeography and our results suggest that the Arctic may be vulnerable to microbial community changes.	2011	10.1093/plankt/fbq124
Fierer, N; Lennon, JT	THE GENERATION AND MAINTENANCE OF DIVERSITY IN MICROBIAL COMMUNITIES	AMERICAN JOURNAL OF BOTANY	Microorganisms play a central role in the regulation of ecosystem processes, and they comprise the vast majority of species on Earth. With recent developments in molecular methods, it has become tractable to quantify the extent of microbial diversity in natural environments. Here we examine this revolution in our understanding of microbial diversity, and we explore the factors that contribute to the seemingly astounding numbers of microbial taxa found within individual environmental samples. We conducted a meta-analysis of bacterial richness estimates from a variety of ecosystems. Nearly all environments contained hundreds to thousands of bacterial taxa, and richness levels increased with the number of individuals in a sample, a pattern consistent with those reported for nonmicrobial taxa. A cursory comparison might suggest that bacterial richness far exceeds the richness levels typically observed for plant and animal taxa. However, the apparent diversity of bacterial communities is influenced by phylogenetic breadth and allometric scaling issues. When these features are taken into consideration, the levels of microbial diversity may appear less astounding. Although the fields of ecology and biogeography have traditionally ignored microorganisms, there are no longer valid excuses for neglecting microorganisms in surveys of biodiversity. Many of the concepts developed to explain plant and animal diversity patterns can also be applied to microorganisms once we reconcile the scale of our analyses to the scale of the organisms being observed. Furthermore, knowledge from microbial systems may provide insight into the mechanisms that generate and maintain species richness in nonmicrobial systems.	2011	10.3732/ajb.1000498
Xue, QY; Yin, YN; Yang, W; Heuer, H; Prior, P; Guo, JH; Smalla, K	Genetic diversity of Ralstonia solanacearum strains from China assessed by PCR-based fingerprints to unravel host plant- and site-dependent distribution patterns	FEMS MICROBIOLOGY ECOLOGY	Bacterial wilt caused by Ralstonia solanacearum is a serious threat to crop production in China. A collection of 319 R. solanacearum strains isolated from 14 different diseased host plants collected in 15 Chinese provinces was investigated by BOX fingerprints in order to test the influence of the site and the host plant on their genetic diversity. Phylotype, fliC-RFLP patterns and biovar were determined for all strains and the sequevar for 39 representative strains. The majority of strains belonged to the Asian phylotype I, shared identical fliC-RFLP patterns and were assigned to four biovars (bv3:123; bv4:162; bv5:3; and bv6:11). Twenty strains were phylotype II, assigned to biovar 2, and had distinct fliC-RFLP patterns. BOX-PCR fingerprints generated from the genomic DNA of each strain revealed a high diversity of the phylotype I strains, where 28 types of BOX fingerprints could be distinguished. While many BOX clusters comprised isolates from different provinces and several host plants, some groups contained isolates that were plant or site specific. All phylotype II isolates originating from 10 provinces belonged to sequevar 1 and displayed identical BOX patterns as the potato brown rot strains from various regions of the world.	2011	10.1111/j.1574-6941.2010.01026.x
ODonnell, K; Rooney, AP; Mills, GL; Kuo, M; Weber, NS; Rehner, SA	Phylogeny and historical biogeography of true morels (Morchella) reveals an early Cretaceous origin and high continental endemism and provincialism in the Holarctic	FUNGAL GENETICS AND BIOLOGY	True morels (Morchella, Ascomycota) are arguably the most highly-prized of the estimated 1.5 million fungi that inhabit our planet. Field guides treat these epicurean macrofungi as belonging to a few species with cosmopolitan distributions, but this hypothesis has not been tested. Prompted by the results of a growing number of molecular studies, which have shown many microbes exhibit strong biogeographic structure and cryptic speciation, we constructed a 4-gene dataset for 177 members of the Morchellaceae to elucidate their origin, evolutionary diversification and historical biogeography. Diversification time estimates place the origin of the Morchellaceae in the middle Triassic 243.63 (95% highest posterior density [HPD] interval: 169.35-319.89) million years ago (Mya) and the divergence of Morchella from its closest relatives in the early Cretaceous 129.61 (95% HPD interval: 90.26-173.16) Mya, both within western North America. Phylogenetic analyses identified three lineages within Morchella: a basal monotypic lineage represented by Morchella rujobrunnea, and two sister clades comprising the black morels (Elata Clade, 26 species) and yellow morels (Esculenta Clade, 16 species). Morchella possesses a Laurasian distribution with 37/41 species restricted to the Holarctic. All 33 Holarctic species represented by multiple collections exhibited continental endemism. Moreover, 16/18 North American and 13/15 Eurasian species appeared to exhibit provincialism. Although morel fruit bodies produce thousands of explosively discharged spores that are well suited to aerial dispersal, our results suggest that they are poorly adapted at invading novel niches. Morels also appear to have retained the ancestral fruit body plan, which has remained remarkably static since the Cretaceous. Published by Elsevier Inc.	2011	10.1016/j.fgb.2010.09.006
Qian, PY; Wang, Y; Lee, OO; Lau, SCK; Yang, JK; Lafi, FF; Al-Suwailem, A; Wong, TYH	Vertical stratification of microbial communities in the Red Sea revealed by 16S rDNA pyrosequencing	ISME JOURNAL	The ecosystems of the Red Sea are among the least-explored microbial habitats in the marine environment. In this study, we investigated the microbial communities in the water column overlying the Atlantis II Deep and Discovery Deep in the Red Sea. Taxonomic classification of pyrosequencing reads of the 16S rRNA gene amplicons showed vertical stratification of microbial diversity from the surface water to 1500m below the surface. Significant differences in both bacterial and archaeal diversity were observed in the upper (2 and 50m) and deeper layers (200 and 1500 m). There were no obvious differences in community structure at the same depth for the two sampling stations. The bacterial community in the upper layer was dominated by Cyanobacteria whereas the deeper layer harbored a large proportion of Proteobacteria. Among Archaea, Euryarchaeota, especially Halobacteriales, were dominant in the upper layer but diminished drastically in the deeper layer where Desulfurococcales belonging to Crenarchaeota became the dominant group. The results of our study indicate that the microbial communities sampled in this study are different from those identified in water column in other parts of the world. The depth-wise compositional variation in the microbial communities is attributable to their adaptations to the various environments in the Red Sea. The ISME Journal (2011) 5, 507-518; doi: 10.1038/ismej.2010.112; published online 29 July 2010	2011	10.1038/ismej.2010.112
Bru, D; Ramette, A; Saby, NPA; Dequiedt, S; Ranjard, L; Jolivet, C; Arrouays, D; Philippot, L	Determinants of the distribution of nitrogen-cycling microbial communities at the landscape scale	ISME JOURNAL	Little information is available regarding the landscape-scale distribution of microbial communities and its environmental determinants. However, a landscape perspective is needed to understand the relative importance of local and regional factors and land management for the microbial communities and the ecosystem services they provide. In the most comprehensive analysis of spatial patterns of microbial communities to date, we investigated the distribution of functional microbial communities involved in N-cycling and of the total bacterial and crenarchaeal communities over 107 sites in Burgundy, a 31 500km(2) region of France, using a 16 x 16 km(2) sampling grid. At each sampling site, the abundance of total bacteria, crenarchaea, nitrate reducers, denitrifiers- and ammonia oxidizers were estimated by quantitative PCR and 42 soil physico-chemical properties were measured. The relative contributions of land use, spatial distance, climatic conditions, time, and soil physico-chemical properties to the spatial distribution of the different communities were analyzed by canonical variation partitioning. Our results indicate that 43-85% of the spatial variation in community abundances could be explained by the measured environmental parameters, with soil chemical properties (mostly pH) being the main driver. We found spatial autocorrelation up to 739km and used geostatistical modelling to generate predictive maps of the distribution of microbial communities at the landscape scale. The present study highlights the potential of a spatially explicit approach for microbial ecology to identify the overarching factors driving the spatial heterogeneity of microbial communities even at the landscape scale. The ISME Journal (2011) 5, 532-542; doi: 10.1038/ismej.2010.130; published online 12 August 2010	2011	10.1038/ismej.2010.130
Clauss, M; Muller, K; Fickel, J; Streich, WJ; Hatt, JM; Sudekum, KH	Macroecology of the host determines microecology of endobionts: protozoal faunas vary with wild ruminant feeding type and body mass	JOURNAL OF ZOOLOGY	Wild ruminants may differ in their protozoal fauna according to their feeding type, but a comprehensive evaluation of available data is lacking. Here, we evaluate the literature data available on the protozoal fauna (diversity, concentration and proportions of the major groups including Entodiniinae, Diplodiniinae and Isotrichidae) in relation to the natural diet (as percentage of grass in the natural diet, %grass) and body mass (BM) in 55 wild ruminant species. The effects of ruminant phylogeny were controlled for using phylogenies based on molecular data and phylogenetic generalized least-squares. Transferring results from domestic to wild ruminants, we hypothesized (1) a decrease in the proportion of Entodiniinae and an increase in that of Diplodiinae, with %grass in the natural diet; (2) a positive correlation between Diplodiinae and Isotrichidae; (3) no influence of BM on these protozoal groups. Based on the literature statements, we additionally expected that (4) protozoa diversity increased with %grass and BM and that (5) protozoa concentrations were independent of both BM but decreased with %grass. Only hypothesis 1 was confirmed completely. Isotrichidae and Diplodiinae only tended to correlate (P=0.08), but the proportion of Isotrichidae increased with BM. Protozoa diversity only increased with BM but not with %grass. Protozoa concentrations were very variable across the %grass range but in extreme grazers, only low concentrations were reported. The results indicate that diet determines protozoa concentrations and part of the taxonomic composition of the protozoal fauna, but not protozoal diversity. Yet, conditions determining the protozoal fauna have not been completely understood; in particular, conditions relating to the presence of Diplodiinae and Isotrichidae, which occur in opposing magnitudes in wild and domestic ruminants, respectively, remain to be investigated. The results indicate clear effects of the ecology of host species (BM, natural diet) on the ecology of their protozoal endobionts.	2011	10.1111/j.1469-7998.2010.00759.x
Tanabe, Y; Watanabe, MM	Local Expansion of a Panmictic Lineage of Water Bloom-Forming Cyanobacterium Microcystis aeruginosa	PLOS ONE	In previous studies, we have demonstrated that the population structure of the bloom-forming cyanobacterium Microcystis aeruginosa is clonal. Expanded multilocus sequence typing analysis of M. aeruginosa using 412 isolates identified five intraspecific lineages suggested to be panmictic while maintaining overall clonal structure probably due to a reduced recombination rate between lineages. Interestingly, since 2005 most strains belonging to one of these panmictic clusters (group G) have been found in a particular locality (Lake Kasumigaura Basin) in Japan. In this locality, multiple, similar but distinct genotypes of this lineage predominated in the bloom, a pattern that is unprecedented for M. aeruginosa. The population structure underlying blooms associated with this lineage is comparable to epidemics of pathogens. Our results may reveal an expansion of the possible adaptive lineage in a localized aquatic environment, providing us with a unique opportunity to investigate its ecological and biogeographical consequences.	2011	10.1371/journal.pone.0017085
Di Giuseppe, G; Erra, F; Dini, F; Alimenti, C; Vallesi, A; Pedrini, B; Wuthrich, K; Luporini, P	Antarctic and Arctic populations of the ciliate Euplotes nobilii show common pheromone-mediated cell-cell signaling and cross-mating	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	Wild-type strains of the protozoan ciliate Euplotes collected from different locations on the coasts of Antarctica, Tierra del Fuego and the Arctic were taxonomically identified as the morpho-species Euplotes nobilii, based on morphometric and phylogenetic analyses. Subsequent studies of their sexual interactions revealed that mating combinations of Antarctic and Arctic strains form stable pairs of conjugant cells. These conjugant pairs were isolated and shown to complete mutual gene exchange and cross-fertilization. The biological significance of this finding was further substantiated by demonstrating that close homology exists among the three-dimensional structures determined by NMR of the water-borne signaling pheromones that are constitutively secreted into the extracellular space by these interbreeding strains, in which these molecules trigger the switch between the growth stage and the sexual stage of the life cycle. The fact that Antarctic and Arctic E. nobilii populations share the same gene pool and belong to the same biological species provides new support to the biogeographic model of global distribution of eukaryotic microorganisms, which had so far been based exclusively on studies of morphological and phylogenetic taxonomy.	2011	10.1073/pnas.1019432108
Cerritos, R; Eguiarte, LE; Avitia, M; Siefert, J; Travisano, M; Rodriguez-Verdugo, A; Souza, V	Diversity of culturable thermo-resistant aquatic bacteria along an environmental gradient in Cuatro Ci,negas, Coahuila, M,xico	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	At the desert oasis of Cuatro Ci,negas in Coahuila, M,xico, more than 300 oligotrophic pools can be found and a large number of endemic species of plants and animals. The most divergent taxa of diatoms, snail and fishes are located in the Churince hydrological system, where we analyzed the local diversification of cultivable Firmicutes and Actinobacteria. The Churince hydrological system is surrounded by gypsum dunes and has a strong gradient for salinity, temperature, pH and dissolved oxygen. In August 2003, surface water samples were taken in 10 sites along the Churince system together with the respective environmental measurements. 417 thermo-resistant bacteria were isolated and DNA was extracted to obtain their BOX-PCR fingerprints, revealing 55 different patterns. In order to identify similarities and differences in the diversity of the various sampling sites, an Ordination Analysis was applied using Principal Component Analysis. This analysis showed that conductivity is the environmental factor that explains the distribution of most of the microbial diversity. Phylogenetic reconstruction from their 16S rRNA sequences was performed for a sample of 150 isolates. Only 17 sequences had a 100% match in the Gene Bank (NCBI), representing 10 well known cosmopolitan taxa. The rest of the sequences cluster in 22 clades for Firmicutes and another 22 clades for Actinobacteria, supporting the idea of high diversity and differentiation for this site.	2011	10.1007/s10482-010-9490-9
Lima-Bittencourt, CI; Costa, PS; Hollatz, C; Raposeiras, R; Santos, FR; Chartone-Souza, E; Nascimento, AMA	Comparative biogeography of Chromobacterium from the neotropics	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	The genus Chromobacterium encompasses free-living Gram-negative bacteria. Until 2007, the genus consisted of only one species but six species are now recognized. Chromobacterium violaceum is the type species of the genus and is commonly found in soil and water in tropical and sub-tropical regions. We have investigated a collection of 111 isolates displaying violet pigmentation from undisturbed aquatic and soil environments from Brazilian Cerrado ecosystem. The 16S rRNA gene phylogeny revealed that all isolates were allocated in a monophyletic cluster inside the Chromobacterium genus and formed few clusters related most closely with Chromobacterium piscinae. The two sets of isolates from water and soil were analyzed by the repetitive extragenic palindromic (rep)-PCR genomic fingerprinting technique using a BOX-AR1 primer. The antimicrobial susceptibility and the different carbon sources utilized by these isolates were also investigated. Physiological profiles of the isolates generated by BIOLOG GN2 plates showed great versatility in the substrate utilization, much higher than the C. violaceum ATCC 12472. All isolates exhibited a high minimum inhibitory concentration (MIC) to ampicillin (MIC > 512 mu g/ml) and were inhibited by ciprofloxacin, tetracycline and mercury at the lowest concentration tested (MIC < 2 mu g/ml). Thirteen BOX-PCR band patterns were identified from 33 individual fingerprints. Eleven patterns provided evidence for endemic distributions. Antimicrobial susceptibility and BOX-PCR fingerprint clustering showed a clear distinction between Chromobacterium isolates from the water and soil. The results suggested that microenvironment barriers such as water and soil can play an important role in the periodic selection and diversification of Chromobacterium population ecotypes.	2011	10.1007/s10482-010-9501-x
Ruamps, LS; Nunan, N; Chenu, C	Microbial biogeography at the soil pore scale	SOIL BIOLOGY & BIOCHEMISTRY	Microbial communities exist and are active in a complex 3-D physical framework which can cause a variety of micro-environments to develop that are more or less suitable for microbial growth, activity and survival. If there is a significant microbial biogeography at the pore scale in soil, then the relationship between microbial diversity and ecosystem function is likely to be affected by micro-environmental variations at the pore scale. In this laboratory study we show that there is a significant pore-scale microbial biogeography by labelling microbial communities in different pore size classes of undisturbed soil cores with (13)C-labelled fructose (a soluble, labile substrate). This was achieved by adding the substrate solution to the samples at different matric potentials (-100 kPa, -3.15 kPa and -1 kPa: placing the substrate in pores with maximum diameter of 0.97, 9.7 and 97 mu m, respectively) and incubating the samples for two weeks. The mineralisation of soil organic carbon and fructose was measured as CO(2) and (13)C-CO(2), respectively, in the jar headspace throughout the incubation. At the end of incubation we analysed the total microbial community structure using PLFA. The structure of microbial communities in different pore size classes was measured by PLFA stable isotope probing. Total PLFA profiles suggested that there was little effect of the incubation conditions on microbial community structure. However, labelled PLFA profiles showed that microbial community structure differed significantly among pore size classes, the differences being due primarily to variations in the abundance of mono-unsaturated lipids (Gram-biomarkers) and of the fungal biomarker (C18:2(9,12)). This is the first evidence for a significant microbial biogeography at the pore scale in undisturbed soil cores. (C) 2010 Elsevier Ltd. All rights reserved.	2011	10.1016/j.soilbio.2010.10.010
Steger, D; Wentrup, C; Braunegger, C; Deevong, P; Hofer, M; Richter, A; Baranyi, C; Pester, M; Wagner, M; Loy, A	Microorganisms with Novel Dissimilatory (Bi)Sulfite Reductase Genes Are Widespread and Part of the Core Microbiota in Low-Sulfate Peatlands	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	Peatlands of the Lehstenbach catchment (Germany) house as-yet-unidentified microorganisms with phylogenetically novel variants of the dissimilatory (bi)sulfite reductase genes dsrAB. These genes are characteristic of microorganisms that reduce sulfate, sulfite, or some organosulfonates for energy conservation but can also be present in anaerobic syntrophs. However, nothing is currently known regarding the abundance, community dynamics, and biogeography of these dsrAB-carrying microorganisms in peatlands. To tackle these issues, soils from a Lehstenbach catchment site (Schloppnerbrunnen II fen) from different depths were sampled at three time points over a 6-year period to analyze the diversity and distribution of dsrAB-containing microorganisms by a newly developed functional gene microarray and quantitative PCR assays. Members of novel, uncultivated dsrAB lineages (approximately representing species-level groups) (i) dominated a temporally stable but spatially structured dsrAB community and (ii) represented core members (up to 1% to 1.7% relative abundance) of the autochthonous microbial community in this fen. In addition, denaturing gradient gel electrophoresis (DGGE)- and clone library-based comparisons of the dsrAB diversity in soils from a wet meadow, three bogs, and five fens of various geographic locations (distance of similar to 1 to 400 km) identified that one Syntrophobacter-related and nine novel dsrAB lineages are widespread in low-sulfate peatlands. Signatures of biogeography in dsrB-based DGGE data were not correlated with geographic distance but could be explained largely by soil pH and wetland type, implying that the distribution of dsrAB-carrying microorganisms in wetlands on the scale of a few hundred kilometers is not limited by dispersal but determined by local environmental conditions.	2011	10.1128/AEM.01352-10
Lin, W; Li, B; Pan, YX	DMTB: A comprehensive online resource of 16S rRNA genes, ecological metadata, oligonucleotides, and magnetic properties of magnetotactic bacteria	CHINESE SCIENCE BULLETIN	Magnetotactic bacteria (MTB) are of interest in microbiology, biomineralization, advanced magnetic materials, and bio-geosciences because of their ability to form highly ordered intracellular magnetic minerals. Great strides for MTB studies have been made in the past four decades. In this paper we complied the first internet-accessible database for MTB, Database of Magnestotactic Bacteria (DMTB). It contains information of 16S rRNA gene sequences, corresponding ecological metadata, oligonucleotides, and magnetic properties of MTB. The comprehensive information contained in DMTB will provide a very useful data resource for researchers from different disciplines. The website of DMTB is at http://database.biomnsl.com/.	2011	10.1007/s11434-010-4275-0
Barberan, A; Casamayor, EO	Euxinic Freshwater Hypolimnia Promote Bacterial Endemicity in Continental Areas	MICROBIAL ECOLOGY	Bacteria and archaea represent the vast majority of biodiversity on Earth. The ways that dynamic ecological and evolutionary processes interact in the microbial world are, however, poorly known. Here, we have explored community patterns of planktonic freshwater bacteria inhabiting stratified lakes with oxic/anoxic interfaces and euxinic (anoxic and sulfurous) water masses. The interface separates a well-oxygenated upper water mass (epilimnion) from a lower anoxic water compartment (hypolimnion). We assessed whether or not the vertical zonation of lakes promoted endemism in deeper layers by analyzing bacterial 16S rRNA gene sequences from the water column of worldwide distributed stratified lakes and applying a community ecology approach. Community similarity based on the phylogenetic relatedness showed that bacterial assemblages from the same water layer were more similar across lakes than to communities from different layer within lakes and that anoxic hypolimnia presented greater beta-diversity than oxic epilimnia. Higher beta-diversity values are attributable to low dispersal and small connectivity between community patches. In addition, surface waters had significant spatial but non-significant environmental components controlling phylogenetic beta-diversity patterns, respectively. Conversely, the bottom layers were significantly correlated with environment but not with geographic distance. Thus, we observed different ecological mechanisms simultaneously acting on the same water body. Overall, bacterial endemicity is probably more common than previously thought, particularly in isolated and environmentally heterogeneous freshwater habitats. We argue for a microbial diversity conservation perspective still lacking in the global and local biodiversity preservation policies.	2011	10.1007/s00248-010-9775-6
Rice, WC; Gowda, PH	Influence of geographical location, crop type and crop residue cover on bacterial and fungal community structures	GEODERMA	The objective of this study was to evaluate the effects of geographical location, crop type, and residue coverage on soil microbial assemblages in Sherm soil from 30 geographically separate commercial fields in Ochiltree and Moore Counties of Texas. Crop residue coverage was derived from spectral data and used to classify sorghum and wheat fields into high and low crop residue categories. Denaturing gradient gel electrophoresis-polymerase chain reaction (DGGE-PCR) assays employing universal PCR primers that target prokaryotic and eukaryotic ribosomal genes were used to evaluate microbial community structure. An interaction between geographical location, crop type, and crop residue coverage was observed. A 50% similarity level was observed for overall bacterial community structure as determined using 16S data while a 59% similarity was observed for overall fungal community structure using 18S data. For the 16S composite dataset, high overall rates of correct classification (ORCC) were observed based on the user-defined groups of county by crop by residue coverage. A similar result was observed for fungal community structure using primer set FR1GC-FF390. Our data support the hypothesis that there are multiple provinces and multiple habitats that govern the assemblage of free-living taxa within the Moore-Ochiltree County agroecosystem. An ancient microbial assemblage based on historical features was identified and is still visible despite the presence of different crop types and cropping systems (Conventional vs. Conservation). For sorghum and wheat grown in Moore and Ochiltree Counties, a two-province state (Moore and Ochiltree Counties) was defined comprised of four habitats i.e. sorghum and wheat habitats influence by degree of residue coverage. Crop type and residue coverage can affect microbial assemblages within a geographical context. Published by Elsevier B.V.	2011	10.1016/j.geoderma.2010.09.003
Tai, V; Burton, RS; Palenik, B	Temporal and spatial distributions of marine Synechococcus in the Southern California Bight assessed by hybridization to bead-arrays	MARINE ECOLOGY PROGRESS SERIES	Marine Synechococcus diversity has been previously described using multi-locus gene sequence phylogenies and the identification of distinct clades. Synechococcus from Clades I, II, III, and IV and from sub-clades within Clades I and IV were enumerated from environmental samples by developing a hybridization assay to liquid bead-arrays (Luminex). Oligonucleotide probes targeting a gene encoding a subunit of RNA polymerase (rpoC1) were used simultaneously in multiplexed assays to track Synechococcus diversity from a Pacific Ocean coastal monitoring site and along a coastal to open-ocean transect in the Southern California Bight. The Luminex assay demonstrated that Synechococcus from Clades I and IV were the dominant types at the coastal site throughout the year. Synechococcus from Clades II and III were not detected except during the late summer or early winter. Within the dominant Clades I and IV, rpoC1-defined sub-clades of Synechococcus showed distinct spatial distributions along the coastal to open-ocean transect, coinciding with changes in the nitricline, thermocline, and fluorescence (chlorophyll) maximum depths. In coastal waters, Synechococcus targeted by 2 sub-clade IV probes were dominant at the surface, whereas 2 sub-clade I probes and a third sub-clade IV probe had increased signals in deeper water near the fluorescence maximum. In mesotrophic waters, this third sub-clade IV probe dominated at the fluorescence maximum (depth of 50 to 70 m), whereas all other sub-clade probes were below detection limits. The differing distributions of sub-clades within the dominant Synechococcus clades indicate that the sub-clades likely have adapted to distinct ecological niches found within the Southern California Bight.	2011	10.3354/meps09030
Porri, F; Hill, JM; McQuaid, CD	Associations in ephemeral systems: the lack of trophic relationships between sandhoppers and beach wrack	MARINE ECOLOGY PROGRESS SERIES	In ephemeral systems, material subsidies can play a key role in the persistence and connectivity of populations, especially if the organisms living within them are trophically dependent on imported resources. Sandy beaches are heavily subsidized by organic material of both terrestrial and marine origin. For highly mobile supratidal fringe species, such as amphipods, which are marine but with a high tolerance of aerial conditions, such material potentially provides both food and shelter. We investigated the relationship between beach wrack and amphipods by examining the trophic contribution of allochthonous food sources to sandhopper diets using stable isotope analysis. Replicate samples of the sandhopper Talorchestia capensis and several types of beach wrack (including seagrass, wood and different macrophytes) colonized by these amphipods were collected from 11 sites within one biogeographical region along the south coast of South Africa. Analysis of variance showed that the delta C-13 and delta N-15 signatures of sandhoppers were significantly affected by the type of wrack with which they were associated, but stable isotope mixing models showed that there was no close relationship between T. capensis diet and the material under which they were found. Thus sandhopper isotope signatures differed with wrack type, but were not clearly derived from wrack. This was interpreted as an indication that amphipod feeding was extremely opportunistic, with different sandhopper populations feeding at different trophic levels (based on delta N-15 signatures) and obtaining their delta C-13 signatures from material associated with specific wrack types, rather than directly from the wrack itself or from imported suspended particulate material. These results suggest alternative links in sandy beach food webs, with amphipods obtaining their carbon indirectly from wrack via bacterial communities that are specific to different types of imported material.	2011	10.3354/meps08951
